26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29
29,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,22,29
29,11,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,23,24,29
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,17,18,29
29,1,1,1,1,2,1,1,1,11,12,1,1,1,1,6,1,1,1,1,1,1,1,29
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29
29,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,29
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,29
29,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,10,29
29,1,1,1,1,1,1,1,1,1,1,1,2,1,1,10,1,1,1,1,1,1,1,29
29,3,1,1,11,12,1,1,1,1,1,1,11,12,1,1,1,1,1,1,1,1,1,29
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,29
29,1,1,1,1,1,1,1,11,12,1,1,1,1,1,1,1,1,10,1,1,1,1,29
29,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,29
29,1,1,1,1,1,1,1,11,12,1,1,1,1,11,12,1,1,1,1,10,1,1,29
29,1,11,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29
29,1,9,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,29
29,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29
29,1,9,1,1,1,1,1,1,1,1,11,12,1,2,1,1,1,1,1,11,12,1,29
29,1,9,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29
29,34,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29
31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33

